APIES,RAZON_SOCIAL,DIRECCION,LOCALIDAD,PARTIDO,PROVINCIA,REGISTRO_AUTOMOTOR,CODIGO_POSTAL
825,OPESSA CALCHAQUI,AVENIDA CALCHAQUI 851 Y RODOLFO LOPEZ,QUILMES OESTE,QUILMES,BUENOS AIRES,QUILMES,1879
30429,ABANILLAS,AVENIDA SANTA FE Y LAS HERAS,BANFIELD,LOMAS DE ZAMORA,BUENOS AIRES,LOMAS DE ZAMORA,1828
1,ACA BARRACAS,AV. MONTES DE OCA 492 Y MARTIN GARCIA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1270
2,OPESSA ACA VELEZ SARSFIELD,AV. VELEZ SARSFIELD 850 Y TOLL,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1281
7,OPESSA CABILDO,AV. CABILDO 4108 Y VILELA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1429
20,PSF UNISERVICIOS,AVENIDA JOSE M MORENO 1485 Y AVELINO DIAZ,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1424
23,SAN JUAN Y SOLIS ALVAREZ Y DI LEVA SA,AV. SAN JUAN Y SOLIS,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1148
32,OPESSA SEGUI,AV. AVELLANEDA 1628 Y SEGUI,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1406
43,ACA FLORES,AV. RIVADAVIA 7530 Y JOSE MARTI,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1406
44,OPESSA ACA AUTODROMO,AV. CNEL. ROCA 4550 Y ESCALADA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1439
47,LA ROTONDA SH,AV. JUAN B. ALBERDI 7500 Y GENERAL PAZ,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1440
59,JONTE 3386 SRL,AV. ALVAREZ JONTE 3386 Y LLAVALLOL,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1407
64,MAURER & GRUMELLI SRL, LOPE DE VEGA 1502 Y MIRANDA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1407
67,RED PETROL SA,AV. CNEL. ROCA 6797 Y JOSE LEON SUAREZ ,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1439
68,DARSISA SA,AV. JUAN B. JUSTO 7099 Y SEGUROLA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1407
82,OPESSA ACA CABALLITO,AV. GAONA 1204 Y MARTIN DE GAINZA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1416
83,ACA CENTRAL,AV. DEL LIBERTADOR 1850 Y PEREYRA LUCENA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1425
85,ACA PALERMO,GODOY CRUZ 3111 Y DEMARIA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1425
95,OPESSA DORREGO,AV. CORDOBA 5984 Y DORREGO,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1414
109,UBR SA,AV. JUAN B JUSTO 3508 Y GENERAL MARTIN RODRIGUEZ,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1416
117,ACA BELGRANO,AV. CABILDO 1499 Y VIRREY ARREDONDO,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1426
118,ACA VILLA DEVOTO,AV. FRANCISCO BEIRO 3561 Y LINCOLN,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1419
123,ESTACION DE SERVICIO AVALOS SA,AVENIDA DE LOS INCAS 4801 Y AVALOS,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1427
133,BOYACA CISA,AV. ELCANO 4000 Y FRAGA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1427
135,PANAMERICANA SRL,AV. SAN MARTIN 5316 Y SIMBRON,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1417
136,PROODOS SA,AV. JUAN B. JUSTO 5315 Y BELAUSTEGUI,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1416
137,FEDAL SRL,FATIMA 3070 Y COLOMBIA,ITUZAINGO,MORON,BUENOS AIRES,MORON,1714
142,SERVICE NAON SRL,OLAZABAL 3690 Y  R .NAON,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1430
144,SUPER SERVICIO SA,AV. DEL LIBERTADOR  Y OLLEROS,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1426
155,"URANGA, PEAGUDA, SILVA, NIECZY",PRIMERA JUNTA 3263 Y MONTES DE OCA,MUNRO,VICENTE LOPEZ,BUENOS AIRES,OLIVOS,1605
162,DEL GOLF SA,AV. FONDO DE LA LEGUA 2127 Y DRAGO,VILLA ADELINA,SAN ISIDRO,BUENOS AIRES,SAN ISIDRO,1607
163,OPESSA FLEMING,HIPOLITO YRIGOYEN 1598 Y FLEMING,MARTINEZ,SAN ISIDRO,BUENOS AIRES,SAN ISIDRO,1640
165,FARMEX SA,AV. MAIPU 999,VICENTE LOPEZ,VICENTE LOPEZ,BUENOS AIRES,OLIVOS,1638
167,OPESSA VICENTE LOPEZ,AV. MAIPU 760 Y GÜEMES,VICENTE LOPEZ,VICENTE LOPEZ,BUENOS AIRES,OLIVOS,1638
180,NOREST SRL,AV. MAIPU Y CAP. BERMUDEZ,OLIVOS,VICENTE LOPEZ,BUENOS AIRES,OLIVOS,1636
182,OPESSA LA LUCILA,AV. DEL LIBERTADOR 3402 Y J. INGENIEROS,LA LUCILA,VICENTE LOPEZ,BUENOS AIRES,OLIVOS,1636
184,OPESSA UGARTE,GOB. UGARTE Y PANAMERICANA,VICENTE LOPEZ,VICENTE LOPEZ,BUENOS AIRES,OLIVOS,1638
192,RODRIGUEZ PENA 1101 SA,RODRIGUEZ PEÑA 4901 Y LAMADRID,SAN MARTIN,SAN MARTIN,BUENOS AIRES,SAN MARTIN (BS AS),1650
200,"BOTAZZINI ALICIA, MA C Y MA E SH",ARTIGAS 1601 Y CHILAVERT ,VILLA BALLESTER,SAN MARTIN,BUENOS AIRES,SAN MARTIN (BS AS),1653
214,H Y G L CONSTRUCCIONES SA,AV. SAN MARTIN Y AV MITRE,CASEROS,TRES DE FEBRERO,BUENOS AIRES,TRES DE FEBRERO,1678
227,SACOMA SA,AYACUCHO 2600 Y PTE. PERON,SAN MARTIN,SAN MARTIN,BUENOS AIRES,SAN MARTIN (BS AS),1650
239,VERGARA COMBUSTIBLES SRL,CNO DE CINT GOB V VERGARA 3702 Y ESTEBAN DE LUCA ,HURLINGHAM,HURLINGHAM,BUENOS AIRES,MORON,1686
247,HURLINGHAM COMBUSTIBLES SRL,RUTA PROVINCIAL PRES GRAL J A ROCA KM () Y CENTENERA,HURLINGHAM,HURLINGHAM,BUENOS AIRES,MORON,1686
251,MACCIONE HERMANOS,AV. PTE PERON 3245,HAEDO,MORON,BUENOS AIRES,MORON,1706
254,PACRISVA SA,GRAL JOSE MARIA PAZ 2975 Y AUTOPISTA PRESIDENTE PERON,ITUZAINGO,MORON,BUENOS AIRES,MORON,1714
273,ESTACION DE SERVICIO SERVIPARQUE SA,AV. ARGENTINA 1799 Y CONSTITUCION,MERLO,MERLO,BUENOS AIRES,MERLO,1722
280,OPESSA ACA DON TORCUATO,RUTA NAC 202 KM (DESCENDENTE) Y AV. DEL TRABAJO,DON TORCUATO,TIGRE,BUENOS AIRES,TIGRE,1611
281,ACA INGENIERO MASCHWITZ,RUTA NACIONAL 9 KM 44.500 (Ascendente),INGENIERO MASCHWITZ,ESCOBAR,BUENOS AIRES,ESCOBAR,1623
288,OPESSA TIGRE,AV. CAZON 997 Y CHACABUCO,TIGRE,TIGRE,BUENOS AIRES,TIGRE,1648
298,MI DESTINO SRL,AVENIDA GRAL SAN MARTIN Y FELIPE BOERO,ESCOBAR,ESCOBAR,BUENOS AIRES,ESCOBAR,1625
304,OPESSA PACHECO,RUTA NACIONAL 197 KM (DESCENDENTE) Y SARMIENTO,GRAL.PACHECO,TIGRE,BUENOS AIRES,TIGRE,1617
315,OPESSA SAN FERNANDO,AV. DEL LIBERTADOR 2199 Y QUINTANA,SAN FERNANDO,SAN FERNANDO,BUENOS AIRES,SAN FERNANDO,1646
317,OPESSA ACA PILAR,RUTA NAC 8 KM 53.700 (ASCENDENTE) Y RUTA 25,PILAR,PILAR,BUENOS AIRES,PILAR,1629
321,OPESSA SAN MIGUEL,RUTA NACIONAL 8 KM (ASCENDENTE) Y RUTA 202,SAN MIGUEL,SAN MIGUEL,BUENOS AIRES,SAN MIGUEL,1663
363,OPESSA AVELLANEDA,AV. BELGRANO 790 Y 9 DE JULIO,AVELLANEDA,AVELLANEDA,BUENOS AIRES,AVELLANEDA (BS AS),1870
367,IACONO RAFAEL,AV. RAMON FRANCO 6287 Y LARTIGAU,WILDE,AVELLANEDA,BUENOS AIRES,AVELLANEDA (BS AS),1875
388,DISTRIBUIDORA SUR SA,RUTA DE LA TRADICION 1410 Y GUATEMALA ,LUIS GUILLON,ESTEBAN ECHEVERRIA,BUENOS AIRES,ESTEBAN ECHEVERRIA,1838
400,BAMBURY SA,AVENIDA FAIR V 410 Y REVISO,MONTE GRANDE,ESTEBAN ECHEVERRIA,BUENOS AIRES,ESTEBAN ECHEVERRIA,1842
402,OPESSA LANUS,AV. HIPOLITO YRIGOYEN 3732 Y PERON,LANUS OESTE,LANUS,BUENOS AIRES,LANUS,1824
403,OPESSA ACA LOMAS DE ZAMORA,AV. H. YRIGOYEN 8590,LOMAS DE ZAMORA,LOMAS DE ZAMORA,BUENOS AIRES,LOMAS DE ZAMORA,1832
406,AUFKOCHEN SACIFI,AVENIDA GENERAL SAN MARTIN 2298 Y VIAMONTE,LANUS OESTE,LANUS,BUENOS AIRES,LANUS,1824
408,CHOUSAL E IACOPETTI,AV. EVA PERON 1399 Y AV. CABRED,TEMPERLEY,LOMAS DE ZAMORA,BUENOS AIRES,LOMAS DE ZAMORA,1834
421,OPESSA ZARATE,RUTA NACIONAL 12 (ASCENDENTE) Y RUTA 193,ZARATE,ZARATE,BUENOS AIRES,ZARATE,2800
439,TINARI BENITO NATALE,PEDRO FRANCISCO DE URIARTE 1097 Y MAGALLANES,REMEDIOS DE ESCALADA,LANUS,BUENOS AIRES,LANUS,1826
444,ASENCIO Y PULLEY SRL,AV. MONTEVERDE 3552 Y HUMBERTO PRIMO,BURZACO,ALMTE BROWN,BUENOS AIRES,ESTEBAN ECHEVERRIA,1852
452,EREZCANO SA,AVENIDA SAN MARTIN Y AGUSTIN EREZCANO,RAFAEL CALZADA,ALMTE BROWN,BUENOS AIRES,ESTEBAN ECHEVERRIA,1847
458,LA POSTA SRL,AV. SAN MARTIN 3401 Y 9 DE JULIO ,RAFAEL CALZADA,ALMTE BROWN,BUENOS AIRES,ESTEBAN ECHEVERRIA,1847
472,GAS BUR SA,TOMAS ESPORA Y HUMBERTO PRIMERO,BURZACO,ALMTE BROWN,BUENOS AIRES,ESTEBAN ECHEVERRIA,1852
501,BARBERO HERMANOS SA,AVENIDA 7 Y CALLE 39,LA PLATA,LA PLATA,BUENOS AIRES,LA PLATA,1900
504,OPESSA LA PLATA,CALLE 7 Y CALLE 32,LA PLATA,LA PLATA,BUENOS AIRES,LA PLATA,1900
510,ACA LA PLATA,CALLE 51 Y CALLE 9,LA PLATA,LA PLATA,BUENOS AIRES,LA PLATA,1900
523,OPESSA BERISSO PUENTE ROMA,CALLE 2 Y CALLE 158,BERISSO,BERISSO,BUENOS AIRES,BERISSO,1923
525,OPESSA BERISSO,CALLE 122 Y CALLE 60,BERISSO,BERISSO,BUENOS AIRES,BERISSO,1923
558,POURTAU COMBUSTIBLES SA,AVENIDA ITUZAINGO 1280,BRANDSEN,BRANDSEN,BUENOS AIRES,BRANDSEN,1980
563,RISCAM SRL,25 DE MAYO Y RIVADAVIA,SAN VICENTE,SAN VICENTE,BUENOS AIRES,SAN VICENTE,1865
567,BARBERO HERMANOS SA,BELGRANO Y ESCRIBANO,CHASCOMÚS,BUENOS AIRES,BUENOS AIRES,CHASCOMÚS,7130
592,ALONSO HNOS,DEL CARMEN Y SAN VICENTE,CAÑUELAS,CAÑUELAS,BUENOS AIRES,CAÑUELAS,1814
616,OPESSA SAN NICOLAS,AVENIDA GENERAL SAVIO 1289 Y POMBO,SAN NICOLAS,SAN NICOLAS,BUENOS AIRES,SAN NICOLAS,2900
631,TRIAR SA,AV. DR MARIANO MORENO ENTRE BARTOLOME MITRE Y DE LA NACION,SAN NICOLAS,SAN NICOLAS,BUENOS AIRES,SAN NICOLAS,2900
641,P A Y S,BARTOLOME MITRE 1050 ENTRE SARMIENTO Y PAZ,LUJAN,LUJAN,BUENOS AIRES,LUJAN,6700
651,DALCON SA,BERNARDO DE IRIGOYEN Y ESPAÑA,GENERAL RODRIGUEZ,GENERAL RODRIGUEZ,BUENOS AIRES,GENERAL RODRIGUEZ,1748
672,ACA MERCEDES,CALLE 29 Y CALLE 16,MERCEDES,MERCEDES,BUENOS AIRES,MERCEDES,6600
720,PETROCELA SA,25 DE MAYO Y PROFESOR MONTES,SALTO,SALTO,BUENOS AIRES,SALTO,2741
737,RIVERA INDARTE NORTE SRL,CNEL BRANDSEN Y TRINUVIRATO,RAMOS MEJIA,LA MATANZA,BUENOS AIRES,LA MATANZA,1704
745,PABLO ZUCCO Y CIA SA,DR ARTURO ILLIA Y PICHINCHA ,SAN JUSTO,LA MATANZA,BUENOS AIRES,LA MATANZA,1754
751,LAFERRED SA,AVENIDA GRAL ROJO Y LUDWING VAN BEETHOVEN,LA FERRERE,LA MATANZA,BUENOS AIRES,LA MATANZA,1757
812,OPESSA ROSARIO URQUIZA,MITRE Y URQUIZA,ROSARIO,ROSARIO,SANTA FE,ROSARIO,2000
815,ESTACION DE SERVICIO GENERAL MOSCONI,AVENIDA SALTA Y CALLAO,ROSARIO,ROSARIO,SANTA FE,ROSARIO,2000
818,OPESSA ECHEVERRIA,AV. FIGUEROA ALCORTA 6608 Y ECHEVERRIA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1428
832,GAMBA HNOS SH,IRIONDO Y ROCA,RECONQUISTA,GRAL OBLIGADO,SANTA FE,RECONQUISTA,3560
851,"GIORGI, SARTOR Y CIA SRL",BOULEVARD CARLOS PELLEGRINI Y SAN LORENZO,SANTA FE,SANTA FE CAPITAL,SANTA FE,SANTA FE,3000
854,R RIETMANN Y CIA SRL,AV. NUESTRA SEÑORA DE LUJAN Y AV. DEL TRABAJO,SANTO TOME,LAS COLONIAS,SANTA FE,SANTO TOME (STA FE),3016
860,FAVINI SA,AVENIDA GRAL JOSE MARIA PAZ Y PJE KOCH,SANTA FE,SANTA FE CAPITAL,SANTA FE,SANTA FE,3000
904,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,CALLE 11 Y CALLE 18,AVELLANEDA,GRAL OBLIGADO,SANTA FE,RECONQUISTA,3561
931,ACA SANTA FE,PRES BERNARDINO RIVADAVIA 3101 Y SUIPACHA,SANTA FE,SANTA FE CAPITAL,SANTA FE,SANTA FE,3000
959,OPESSA MARULL,BOULEVARD RONDEAU 898 Y MARULL,ROSARIO,ROSARIO,SANTA FE,ROSARIO,2000
973,OPESSA ACA OROÑO,BOULEVARD OROÑO 1302 Y TRES DE FEBRERO,ROSARIO,ROSARIO,SANTA FE,ROSARIO,2000
983,OPESSA OVIDIO LAGOS,27 DE FEBRERO 2801 Y OVIDIO LAGOS,ROSARIO,ROSARIO,SANTA FE,ROSARIO,2000
987,JOSE ORSI Y CIA SRL,AVENIDA ARIJON Y AYACUCHO,ROSARIO,ROSARIO,SANTA FE,ROSARIO,2000
1064,ORGANIZACION DELASOIE HNOS SA,AV. PRESIDENTE JUAN DOMINGO PERON Y ALBERDI,COLON,COLON,ENTRE RIOS,COLON (ENTRE RÍOS),3280
1073,OPESSA ACA PARANA,AVENIDA BUENOS AIRES 333 Y LAPRIDA,PARANA,PARANA,ENTRE RIOS,PARANA,3100
1080,GOMEZ CLAUDIO MARCELO ZOILO (ACA GUALEGUAYCHU),URQUIZA Y CHACABUCO,GUALEGUAYCHU,GUALEGUAYCHU,ENTRE RIOS,GUALEGUAYCHU,2820
1088,OPESSA ALMAFUERTE,AVENIDA ALMAFUERTE 795 Y AYACUCHO,PARANA,PARANA,ENTRE RIOS,PARANA,3100
1142,OPESSA AUSOL CAMPANA ESTE,AUTOPISTA DEL SOL RAMAL CAMPANA (LADO CAMPANA) KM 36.500 (ASCENDENTE),GRAND BOURG,MALVINAS ARGENTINAS,BUENOS AIRES,MALVINAS ARGENTINAS,1615
1182,OPESSA AUSOL PILAR NORTE,AUTOPISTA DEL SOL RAMAL PILAR (LADO PILAR) KM 36.500 (ASCENDENTE) TORTUGUITAS,TORTUGUITAS,MALVINAS ARGENTINAS,BUENOS AIRES,MALVINAS ARGENTINAS,1667
1262,ADOLFO SARTORI SA,AVENIDA BELGRANO Y A CORTI,LEANDRO N. ALEM,LEANDRO N ALEM,MISIONES,OBERA,3315
1268,ACA POSADAS,COLON Y CORDOBA,POSADAS,POSADAS,MISIONES,POSADAS,3300
1297,PETRO BRENAS SA,AVENIDA GENERAL MANUEL BELGRANO 1703,LAS BREÑAS,9 DE JULIO,CHACO,CHARATA,3722
1302,ACA PRESIDENTE ROQUE SAENZ PEÑA,RIVADAVIA Y 25 MAYO,PTE.R.SAENZ PEÑA,CMDTE FERNANDEZ,CHACO,PCIA ROQUE SAENZ PEÑA,3700
1314,ESTACION DE SERVICIO SANTA ROSA SA,AVENIDA PEDRO FERRE 2592 Y SANTA ROSA,CORRIENTES,CORRIENTES CAPITAL,CORRIENTES,CORRIENTES,3400
1331,RAUL HONORIO SILVESTRI SA,GENERAL GÜEMES Y DON BOSCO,RESISTENCIA,SAN FERNANDO,CHACO,RESISTENCIA,3500
1333,ACA CORRIENTES,MENDOZA Y 25 DE MAYO,CORRIENTES,CORRIENTES CAPITAL,CORRIENTES,CORRIENTES,3400
1335,OPESSA ACA RESISTENCIA,AVENIDA 9 DE JULIO 499 Y AVENIDA ITALIA,RESISTENCIA,SAN FERNANDO,CHACO,RESISTENCIA,3500
1348,IGNACIO MESCHEDE Y CIA SRL,AVENIDA SAN MARTIN 3181,ELDORADO,ELDORADO,MISIONES,EL DORADO,3380
1369,E/S AVELLANEDA DE A ROMAIRONE,CORDOBA Y BV. AVELLANEDA,ROSARIO,ROSARIO,SANTA FE,ROSARIO,2000
1414,OPESSA BELLA VISTA,AV. GASPAR CAMPOS Y MORON,BELLA VISTA,SAN MIGUEL,BUENOS AIRES,SAN MIGUEL,1661
1415,OPESSA PERDRIEL,25 DE MAYO 1544 Y PERDRIEL,SAN MARTIN,SAN MARTIN,BUENOS AIRES,SAN MARTIN (BS AS),1650
1418,LA AGRICOLA REGIONAL COOP LD,9 DE JULIO Y ENTRE RIOS,CRESPO,PARANA,ENTRE RIOS,PARANA,3116
1430,PETROVALLE SA,AVENIDA REPUBLICA ORIENTAL DEL URUGUAY Y MONTEAGUDO,POSADAS,POSADAS,MISIONES,POSADAS,3300
1453,SUCESION DE LOUSTAU MARTHA BEATRIZ,COLON E HIPOLITO YRIGOYEN,AZUL,AZUL,BUENOS AIRES,AZUL,7300
1458,OPESSA BAHIA BLANCA,VIEYTES Y COLON,BAHIA BLANCA,BAHIA BLANCA,BUENOS AIRES,BAHIA BLANCA,8000
1477,COMBUSTIBLES SERRANOS SRL EN FORMACION,AVENIDA DEL VALLE Y CALLE 12,BALCARCE,BALCARCE,BUENOS AIRES,BALCARCE,7620
1492,ACA BOLIVAR,LAVALLE 301 Y SANTOS PLAZA,BOLIVAR,BOLIVAR,BUENOS AIRES,BOLIVAR,6550
1539,SERVICIOS CIPOLLETTI SRL,AV. LISANDRO DE LA TORRE Y GRAL PACHECO,CIPOLLETTI,GRAL ROCA,RIO NEGRO,CIPOLLETTI ,8324
1554,OPESSA ACA COMODORO RIVADAVIA,ALVEAR Y DORREGO,COMODORO RIVADAVIA,ESCALANTE,CHUBUT,COMODORO RIVADAVIA ,9000
1559,PETROPAT SRL,RUTA PROVINCIAL 1 KM (Ascendente),COMODORO RIVADAVIA,ESCALANTE,CHUBUT,COMODORO RIVADAVIA ,9000
1635,PETROSURCO SA,CALLE 20 (BELGRANO) Y CALLE 11 (ESPAÑA),GRAL.PICO,MARACO,LA PAMPA,GENERAL PICO ,6360
1642,JORGE PIRRI Y CIA SRL (EN FORMACION),TUCUMAN 1585 SAN JUAN,GRAL.ROCA,GRAL.ROCA,RIO NEGRO,GRAL. ROCA (RIO NEGRO),8332
1643,RIO NEGRO COMBUSTIBLES SRL E/FOR,ALSINA E ISLAS MALVINAS,GRAL.ROCA,GRAL ROCA,RIO NEGRO,GRAL. ROCA (RIO NEGRO),8332
1648,OPESSA VILLEGAS,RUTA NACIONAL 188 KM () Y RUTA NAC 33,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES,GENERAL VILLEGAS,6230
1676,OPESSA ACA JUNIN,GRAL. CORNELIO SAAVEDRA Y LEBEHNSON,JUNIN,JUNIN,BUENOS AIRES,JUNIN,6000
